title,url,type,id,description
Interpolated climate variables for the Himalayan Kindom of Bhutan,https://data.csiro.au/dap/ws/v2/collections/52593,Data,52593,"Monthly (1985-2020) and monthly mean (1985-2015) surfaces of maximum temperature, minimum temperature, vapour pressure and precipitation for the Himalayan Kingdom of Bhutan at a spatial resolution of 250 m. These climate surfaces are novel, in that the weather stations (n = 69) used in their development have rarely been made available or incorporated into contemporary climate products. Multiple calibration methods are provided for maximum and minimum temperature, following the methods described in by Stewart et al. (2017).

Please refer to the attached documentation for a detailed description of methods applied, statistical performance, and comparisons against other contemporary products."
AgScore regional inter-model comparison of seasonal climate forecasts,https://data.csiro.au/dap/ws/v2/collections/53019,Data,53019,Verification metrics used to assess the forecast quality of 12 seasonal climate forecast systems across Australia
Evaluating 3-6 month seasonal climate forecasts for decision-making in farm case studies using APSIM,https://data.csiro.au/dap/ws/v2/collections/53568,Data,53568,"This data consists of APSIM v7.10 model set ups and weather files used to simulate crop production under usual practice and in response to the 3 and/or 6 month seasonal climate forecasts at 8 different case study farms. Case studies were from individual farms in the grains (including cotton), sugarcane, and rice  industries in Australia (farm managers deidentified). The model setups include any modified xml files to better represent crops and other modules). The weather files include historical records obtained from the SILO data base for the nearest weather station to the farms (modified by radiation sourced from Senaps data source), 'perfect' forecasts calculated from the historical record, and seasonal climate forecasts generated from the Access-S2 and ECMWF general circulation models."
"Climate-based ensemble predictions and uncertainty metrics (TAI, TSD) for plant species in Victoria, southeast Australia (38) and the Himalayan Kingdom of Bhutan (12)",https://data.csiro.au/dap/ws/v2/collections/53962,Data,53962,"This collection includes each of the climate variables (across multiple source datasets), presence and absence records, associated plant species distributions in Victoria (n=38) and Bhutan (n=12), and ensemble metrics generated as part of the manuscript titled 'Predicting plant species distributions using climate-based model ensembles with corresponding measures of congruence and uncertainty' (Stewart et al. under review). 

Ensembles are calculated using modelled predictions of species distributions that have been fitted using alternative source climate datasets (n = 10). Each contributing surface represents an ensemble of 7 algorithms (artificial neural networks, boosted regression trees, random forests, generalised additive models, multivariate adaptive regression splines, classification tree analysis, and flexible discriminant analysis). The ensemble metrics presented include the Threshold Agreement Index (TAI; describes the degree to which model predictions agree with respect to an optimal classification threshold) and the Threshold-scaled Standard Deviation (TSD; the standard deviation across all predictions in the ensemble, penalised in regions where contributing models agree with respect to an optimal classification threshold). These metrics describe the congruence and uncertainty associated with the selection of alternative climate datasets; however, could be applied to other applications (e.g. niche overlap under climate change, alternative algorthms, etc.). These metrics are each calculated, per-pixel, using 10 contributing prediction surfaces. 


"
"CMIP5 global climate model outputs and derived outputs, comprising: Data generated to produce PACCSAP reports; data generated to produce NRM reports; data generated to produce ACCSP reports.",https://data.csiro.au/dap/ws/v2/collections/40263,Service,40263,"Processed global climate model outputs and derived analysis from ‘historical’ and RCP simulations from CMIP5 models. A set of up to 26 models were used for all PACCSAP reporting, but some other models are now processed as well as part of the NRM and ACCSP projects. 

Datasets are complete time series as well averages for 1986-2005, 2020-2039, 2040-2059, 2060-2079 and 2080-2099. 
Derived variables are: 
•	Climatologies for each period
•	Changes between periods (absolute and %)
•	Expert Team on Climate Change Detection and Indices (ETCCDI) extremes indices (e.g. annual maximums)
•	Average recurrence interval (ARI) calculations of 1-year, 2-year, 5-year, 10-year, 20-year, 50-year and 100-year events fro rainfall and temperature extremes
•	Standardised precipitation index (SPI) of meteorological drought
•	Area-average means and changes for each partner nation and each NRM cluster region for all fields"
Simple Carbon-Climate Model (SCCM v7b),https://data.csiro.au/dap/ws/v2/collections/46088,Software,46088,"This collection comprises source code, control files and sufficient input data files as required to run the Simple Carbon-Climate Model (SCCM7b), and documentation for the model.  SCCM is an analytical-numerical model for the globally-averaged climate (as principally measured by the near-surface air temperature) and the atmospheric concentrations of carbon dioxide and other greenhouse gas species, as determined by the coupled carbon cycle and climate systems.  Further detail in science and technical details is provided in the accompanying reference material."
"Climate Victoria: 9am Vapour Pressure (9 second, approx. 250 m)",https://data.csiro.au/dap/ws/v2/collections/44940,Data,44940,"Daily (1981-2019), monthly (1981-2019) and monthly mean (1981-2010) surfaces of 9am vapour pressure across Victoria at a spatial resolution of 9 seconds (approx. 250 m). "
"Quantile-based monthly climate extreme variables and predicted plant species distributions (37) across Victoria, southeast Australia",https://data.csiro.au/dap/ws/v2/collections/48369,Data,48369,This collection includes each of the climate variables (including quantile-based extremes) and predicted plant species distributions (37) generated as part of the manuscript titled 'Climate extreme variables generated using monthly time-series data improve predicted distributions of plant species' (Stewart et al. 2020a; doi: 10.1111/ecog.05253).
"Climate Victoria: Precipitation (9 second, approx. 250 m)",https://data.csiro.au/dap/ws/v2/collections/44946,Data,44946,"Daily (1981-2019), monthly (1981-2019) and monthly mean (1981-2010) surfaces of precipitation across Victoria at a spatial resolution of 9 seconds (approx. 250 m). "
"Climate Victoria: Maximum Temperature (3DS; 9 second, approx. 250 m)",https://data.csiro.au/dap/ws/v2/collections/44942,Data,44942,"Daily (1981-2019), monthly (1981-2019) and monthly mean (1981-2010) surfaces of maximum temperature (approx. 1.2 m from ground) across Victoria at a spatial resolution of 9 seconds (approx. 250 m). Surfaces are developed using ordinary trivariate splines (full spline dependence upon latitude, longitude and elevation).
"
"A selection of 9s gridded climate change variables for continental Australia for biodiversity modelling: 1990, 2050, 2070, 2090; GFDL and ACCESS1.0; RCP 4.5, 8.5",https://data.csiro.au/dap/ws/v2/collections/35241,Data,35241,"A selection of 9sec gridded National climate change variables for biodiversity modelling. This collection represents 30-year averages centred on each of 1990, 2050, 2070, 2090. Projected future climates were generated by applying within-model changes for two circulation model outputs: GFDL and ACCESS1.0; and for two representative concentration pathways (RCP 4.5, 8.5), calculated at the native general circulation model grid resolution to these current surfaces, using ANUCLIM 6.1 prior to radiative adjustment. That the maximum temperature variables have been adjusted for topographic slope/aspect and shading effects. A short methods summary is provided in the file 9sClimateMethodsSummary.pdf for further information, including a nomenclature for files. The selected climate variables provided in this collection are: 
TNM - mean annual minimum temperature 
TXM  - mean annual maximum temperature 
TXX - mean maximum monthly maximum temperature 
TXI - mean minimum monthly maximum temperature 
TNI - mean minimum monthly minimum temperature
TNX - mean maximum monthly minimum temperature
PTA - Average total annual rainfall
PTX - mean maximum monthly rainfall
PTI - mean minimum monthly rainfall
Other variables (evaporation and water balance, temperature range, and seasonality, etc) are available upon application. The data are provided in ESRI binary float grid format (*.hdr, *.flt), Projection is geographic GDA94. "
"Climate Victoria: Minimum Temperature (3DS-T; 9 second, approx. 250 m)",https://data.csiro.au/dap/ws/v2/collections/44944,Data,44944,"Daily (1981-2019), monthly (1981-2019) and monthly mean (1981-2010) surfaces of minimum temperature (approx. 1.2 m from ground) across Victoria at a spatial resolution of 9 seconds (approx. 250 m). Surfaces are developed using trivariate splines (latitude, longitude and elevation) with partial dependence upon a topographic index of relative elevation."
"Climate Victoria: Minimum Temperature (2DS-E; 9 second, approx. 250 m)",https://data.csiro.au/dap/ws/v2/collections/44943,Data,44943,"Daily (1981-2019), monthly (1981-2019) and monthly mean (1981-2010) surfaces of minimum temperature (approx. 1.2 m from ground) across Victoria at a spatial resolution of 9 seconds (approx. 250 m). Surfaces are developed using bivariate splines (latitude and longitude) with partial dependence upon elevation."
"Climate Victoria: Minimum Temperature (3DS-TM; 9 second, approx. 250 m)",https://data.csiro.au/dap/ws/v2/collections/44945,Data,44945,"Daily (1981-2019), monthly (1981-2019) and monthly mean (1981-2010) surfaces of minimum temperature (approx. 1.2 m from ground) across Victoria at a spatial resolution of 9 seconds (approx. 250 m). Surfaces are developed using trivariate splines (latitude, longitude and elevation) with partial dependence upon a topographic index of relative elevation and standardised night time MODIS land surface temperature."
"Climate Victoria: Reference Evapotranspiration (FAO-56; 9 second, approx. 250 m)",https://data.csiro.au/dap/ws/v2/collections/44742,Data,44742,Daily  (1990-2014) reference evapotranspiration (FAO-56) across Victoria at a spatial resolution of 9 seconds (approx. 250 m). 
Australian vegetated coastal ecosystems as global hotspots for climate change mitigation,https://data.csiro.au/dap/ws/v2/collections/40699,Data,40699,"Data on C stocks and sequestration rates in Australian tidal marshes, mangrove forests and seagrass meadows were compiled from published data. In addition, unpublished studies from the CSIRO Marine and Coastal Carbon Biogeochemistry Cluster project and other studies by the co-authors were included. Data from 1,553 study sites (593 from tidal marshes, 323 from mangrove forests and 637 from seagrass meadows) on soil C stocks (1,103 cores in total), soil C sequestration rates (352 cores in total) and standing C stocks in aboveground biomass (98 measurements in total) were used in this study. Detailed methods are provided in the manuscript linked to this dataset."
CCAM Climate Downscaling Data for Victoria 2019,https://data.csiro.au/dap/ws/v2/collections/38583,Service,38583,"Dynamically downscaled climate simulations for Victoria from 1961 to 2099 using the Conformal Cubic Atmospheric Model (CCAM) r3355.  An ensemble of Global Climate Models were downscaled (ACCESS1-0, CNRM-CM5, GFDL-ESM2M, HadGEM2, MIROC5 and NorESM1-M) from the CMIP5 archive for historical, RCP4.5 and RCP8.5, as well as downscaling ERA-Interim.  Sea Surface Temperatures (SST) were bias corrected and the global atmosphere simulated at 50 km resolution with only SST forcing.  The 50 km simulation was then downscaled to 5 km resolution over Victoria using CCAM’s variable resolution grid and a scale-selective filter.  The dataset was created with support from Wine Australia, the Victorian Department of Environment, Land, Water and Planning, the University of Tasmania, as well as CSIRO Oceans and Atmosphere."
"Climate Victoria: Maximum Temperature (3DS-M; 9 second, approx. 250 m)",https://data.csiro.au/dap/ws/v2/collections/44941,Data,44941,"Daily (1981-2019), monthly (1981-2019) and monthly mean (1981-2010) surfaces of maximum temperature (approx. 1.2 m from ground) across Victoria at a spatial resolution of 9 seconds (approx. 250 m). Surfaces are developed using trivariate splines (latitude, longitude and elevation) with partial dependence upon standardised day time MODIS land surface temperature. "
